Sweet Candy,3:10,AC/DC,Rock or Bust,Rock,60
Emission Control,3:41,AC/DC,Rock or Bust,Rock,80
Travelin' Prayer,4:16,Billy Joel,Piano Man,Pop,60
Piano Man,5:39,Billy Joel,Piano Man,Pop,100
Ain't No Crime,3:19,Billy Joel,Piano Man,Pop,40
You're My Home,3:13,Billy Joel,Piano Man,Pop,40
The Ballad Of Billy The Kid,5:42,Billy Joel,Piano Man,Pop,100
Worse Comes To Worst,3:16,Billy Joel,Piano Man,Pop,60
Stop In Nevada,3:55,Billy Joel,Piano Man,Pop,60
If I Only Had The Words (To Tell You),3:34,Billy Joel,Piano Man,Pop,40
Somewhere Along The Line,3:20,Billy Joel,Piano Man,Pop,40
Captain Jack,7:17,Billy Joel,Piano Man,Pop,100
Say Goodbye to Hollywood,4:37,Billy Joel,Turnstiles,Pop,80
Summer Highland Falls,3:20,Billy Joel,Turnstiles,Pop,60
All You Wanna Do Is Dance,3:46,Billy Joel,Turnstiles,Pop,40
New York State of Mind,6:05,Billy Joel,Turnstiles,Pop,100
James,3:56,Billy Joel,Turnstiles,Pop,20
Prelude/Angry Young Man,5:17,Billy Joel,Turnstiles,Pop,80
I've Loved These Days,4:36,Billy Joel,Turnstiles,Pop,40
Miami 2017 (Seen the Lights Go Out On Broadway),5:15,Billy Joel,Turnstiles,Pop,100
Movin' Out (Anthony's Song),3:30,Billy Joel,The Stranger,Pop,80
The Stranger,5:11,Billy Joel,The Stranger,Pop,100
Just The Way You Are,4:51,Billy Joel,The Stranger,Pop,100
Scenes From An Italian Restaurant,7:37,Billy Joel,The Stranger,Pop,100
Vienna,3:34,Billy Joel,The Stranger,Pop,80
Only The Good Die Young,3:56,Billy Joel,The Stranger,Pop,100
She's Always A Woman,3:21,Billy Joel,The Stranger,Pop,100
Get It Right The First Time,3:57,Billy Joel,The Stranger,Pop,40
Everybody Has A Dream,6:36,Billy Joel,The Stranger,Pop,60
Battle Scene,4:20,THE BLACK MAGES,The Black Mages,Rock,80
Clash on the Big Bridge,4:17,THE BLACK MAGES,The Black Mages,Rock,100
